Q1	Q2	Q3	Q4	Q5	最終サービス	結果メッセージ
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	A: 毎週しっかり	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	A: 毎週しっかり	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	A: 毎週しっかり	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	B: 週1程度/不定期	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	B: 週1程度/不定期	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	B: 週1程度/不定期	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	C: 隙間時間のみ	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	C: 隙間時間のみ	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	A: 段階的ステップアップ	C: 隙間時間のみ	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	A: 毎週しっかり	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	A: 毎週しっかり	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	A: 毎週しっかり	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	B: 週1程度/不定期	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	B: 週1程度/不定期	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	B: 週1程度/不定期	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	C: 隙間時間のみ	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	C: 隙間時間のみ	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	B: 試合形式・応用	C: 隙間時間のみ	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	A: 毎週しっかり	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	A: 毎週しっかり	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	A: 毎週しっかり	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	B: 週1程度/不定期	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	B: 週1程度/不定期	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	B: 週1程度/不定期	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	C: 隙間時間のみ	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	C: 隙間時間のみ	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	A: 総合強化	C: ピンポイント学習	C: 隙間時間のみ	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	B: 寝技	A: 段階的ステップアップ	A: 毎週しっかり	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	B: 寝技	A: 段階的ステップアップ	A: 毎週しっかり	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	B: 寝技	A: 段階的ステップアップ	A: 毎週しっかり	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
A: 黒帯取得	B: 寝技	A: 段階的ステップアップ	B: 週1程度/不定期	A: 3年以上	Black Belt System	あなたは豊富な経験をお持ちなので、このサービスでさらに高度な技術を磨けます。
A: 黒帯取得	B: 寝技	A: 段階的ステップアップ	B: 週1程度/不定期	B: 1年以上3年未満	Black Belt System	基礎を活かし、実戦で差がつく応用力を伸ばせます。
A: 黒帯取得	B: 寝技	A: 段階的ステップアップ	B: 週1程度/不定期	C: 1年未満	Black Belt System	初心者でも安心して学べる基礎からスタートできます。
